"","STATE","COUNTY","CTYNAME","STNAME","pop09","pop19","pop29","pop39","pop49","pop59","pop69","pop79","pop89"
"71","02","050","Bethel Census Area","Alaska",3902,3211,2822,2457,1751,1949,1478,631,185
"72","02","060","Bristol Bay Borough","Alaska",104,64,115,124,91,136,121,51,30
"73","02","068","Denali Borough","Alaska",222,214,285,329,332,341,268,90,16
"74","02","070","Dillingham Census Area","Alaska",951,726,771,652,425,604,505,196,86
"75","02","090","Fairbanks North Star Borough","Alaska",13797,11556,19789,15260,10243,10263,9531,4814,1596
"76","02","100","Haines Borough","Alaska",223,275,227,297,285,407,471,254,91
"77","02","105","Hoonah-Angoon Census Area","Alaska",209,209,198,206,239,369,401,236,81
"78","02","110","Juneau City and Borough","Alaska",3734,3774,4345,4819,4113,4529,3989,1956,715
"79","02","122","Kenai Peninsula Borough","Alaska",7184,7178,6801,7383,6779,7910,9015,4774,1684
"80","02","130","Ketchikan Gateway Borough","Alaska",1631,1679,1728,1976,1632,1943,1866,1045,401
"81","02","150","Kodiak Island Borough","Alaska",1909,1627,1978,2080,1502,1607,1378,680,237
"82","02","158","Kusilvak Census Area","Alaska",2137,1569,1303,1052,633,794,545,204,77
"83","02","164","Lake and Peninsula Borough","Alaska",272,223,200,213,195,207,172,76,34
"84","02","170","Matanuska-Susitna Borough","Alaska",15492,15609,13633,15787,13437,13627,12647,6006,2079
"85","02","180","Nome Census Area","Alaska",2053,1683,1500,1377,1048,1065,814,346,118
"86","02","185","North Slope Borough","Alaska",1570,1271,1323,1476,1254,1672,862,294,110
"87","02","188","Northwest Arctic Borough","Alaska",1662,1302,1197,1000,723,837,518,245,137
"88","02","195","Petersburg Borough","Alaska",394,337,360,407,395,452,510,295,116
"89","02","198","Prince of Wales-Hyder Census Area","Alaska",725,802,643,755,701,931,1016,498,132
"90","02","220","Sitka City and Borough","Alaska",906,1045,1081,1252,1115,1084,1139,566,305
"91","02","230","Skagway Municipality","Alaska",121,71,149,237,178,151,160,86,30
"92","02","240","Southeast Fairbanks Census Area","Alaska",1029,832,809,915,821,939,889,491,168
"93","02","261","Valdez-Cordova Census Area","Alaska",1209,1133,1056,1303,1053,1304,1366,615,163
"94","02","275","Wrangell City and Borough","Alaska",271,262,249,251,237,355,485,263,129
"95","02","282","Yakutat City and Borough","Alaska",65,45,74,72,67,86,87,53,30
"96","02","290","Yukon-Koyukuk Census Area","Alaska",849,738,627,683,523,598,745,344,123
"97","04","001","Apache County","Arizona",10223,11201,9583,8542,7608,8845,8335,5011,2539
"98","04","003","Cochise County","Arizona",14695,15448,15082,15290,12789,14896,17314,13598,6810
"99","04","005","Coconino County","Arizona",15589,22868,31208,17343,14488,15117,15116,8206,3541
"100","04","007","Gila County","Arizona",5934,5701,5228,5179,4693,6754,9369,7618,3542
"101","04","009","Graham County","Arizona",5612,5950,5872,5427,4651,3883,3694,2422,1326
"102","04","011","Greenlee County","Arizona",1446,1347,1329,1377,1135,1058,931,518,357
"103","04","012","La Paz County","Arizona",1880,1946,1870,1804,1679,2178,2974,4219,2558
"104","04","013","Maricopa County","Arizona",566323,605893,637115,621064,565848,544401,464292,317462,163016
"105","04","015","Mohave County","Arizona",18652,20298,20366,20583,19745,28033,37432,31966,15106
"106","04","017","Navajo County","Arizona",15621,16255,13118,12723,11529,13310,14412,9692,4264
"107","04","019","Pima County","Arizona",116668,130637,164001,123732,114677,119051,129645,97101,51767
"108","04","021","Pinal County","Arizona",54419,58387,56179,62365,55926,50685,57105,48439,19284
"109","04","023","Santa Cruz County","Arizona",6635,7133,5711,5071,5123,5380,5430,4070,1945
"110","04","025","Yavapai County","Arizona",19666,22457,21419,21007,21182,30669,46266,36160,16273
