state,county_state,pop09,pop1049,pop59,pop69,pop79,pop89
AL,AL 01047,4515,9693,4969,5071,3121,1600
AL,AL 01049,8925,18843,9369,8545,5908,2721
AL,AL 01051,9707,19990,11015,9441,5917,2558
AL,AL 01053,4516,8989,4760,4331,3077,1558
AL,AL 01055,11900,24105,13662,13419,9057,4325
AL,AL 01057,1858,3767,2199,2273,1631,795
AL,AL 01059,4294,8488,3961,3616,2398,1280
AL,AL 01061,2991,6332,3644,3582,2508,1261
AL,AL 01063,946,1927,1030,1288,782,455
AL,AL 01065,1896,3715,1963,1955,1269,699
AL,AL 01067,1821,3843,2248,2527,1830,914
AL,AL 01069,13199,26620,13841,12873,8670,4473
AL,AL 01071,5593,11775,7137,7266,4898,2317
AL,AL 01073,83821,166418,81453,79054,45115,25632
AL,AL 01075,1538,3223,1853,1855,1408,809
AL,AL 01077,9536,20897,12076,12230,8718,4479
AL,AL 01079,3730,7783,5008,4234,3005,1321
AL,AL 01081,19091,42352,18886,15655,9276,4109
AL,AL 01083,11486,24290,14457,11165,6972,3172
AL,AL 01085,1214,2355,1418,1304,880,458
AL,AL 01087,1705,4102,2252,2540,1656,827
AL,AL 01089,43878,91034,53930,42512,25181,13684
AL,AL 01091,2269,4679,2462,2479,1692,922
AL,AL 01093,3253,6801,4231,3813,2897,1669
AL,AL 01095,13450,26498,12577,11266,7741,3810
AL,AL 01097,53474,106527,52537,49709,30699,15377
AL,AL 01099,2211,4866,2865,2948,1929,1075
AL,AL 01101,29988,59380,27574,25887,15047,8266
AL,AL 01103,14650,29904,16901,14740,9711,4832
AL,AL 01105,1005,2371,1022,1119,790,502
AL,AL 01107,2064,4333,2825,2544,1710,964
AL,AL 01109,3503,8173,3532,3356,2316,1231
AL,AL 01111,2596,5419,3295,3129,2194,1078
AL,AL 01113,7944,15282,7581,6490,3840,1850
AL,AL 01115,10840,21939,12479,10872,7060,3057
AL,AL 01117,25999,55803,29394,25414,15464,7408
AL,AL 01119,1326,2978,1458,1628,897,646
AL,AL 01121,8690,18692,10897,10473,6806,3108
AL,AL 01123,4504,9038,5806,6116,4171,1898
AL,AL 01125,24896,53864,23142,22108,12254,6263
AL,AL 01127,7803,15450,8660,8442,5781,2697
AL,AL 01129,1818,3969,2356,2185,1473,717
AL,AL 01131,1303,2729,1296,1380,924,502
AL,AL 01133,2526,5275,3523,3267,2405,1219
AR,AR 05001,2272,4352,2319,2375,1517,886
AR,AR 05003,2354,4789,2720,2542,1962,936
AR,AR 05005,3856,8144,5587,6793,6174,3466
AR,AR 05007,39530,79109,32093,26241,17159,8788
AR,AR 05009,4622,9277,4988,4703,3646,1935
AR,AR 05011,1382,2826,1402,1334,907,531
AR,AR 05013,537,1085,804,761,500,269
AR,AR 05015,3236,6705,3705,4316,3192,1387
AR,AR 05017,1168,2428,1356,1486,872,582
AR,AR 05019,2337,5864,2360,2399,1682,956
AR,AR 05021,1675,3403,2011,1889,1500,796
AR,AR 05023,2379,5136,3518,3783,3203,1763
AR,AR 05025,832,1891,1138,1071,768,420
AR,AR 05027,2666,6342,2727,2660,1758,1138
AR,AR 05029,2596,5153,2908,2765,1832,1062
AR,AR 05031,15331,31253,12291,10763,6752,3738
AR,AR 05033,8169,16833,8356,7517,5022,2461
AR,AR 05035,7153,14190,6009,5257,3114,1495
AR,AR 05037,2059,4163,2173,1993,1512,730
AR,AR 05039,733,1595,913,1066,746,445
AR,AR 05041,1522,3137,1408,1577,986,524
AR,AR 05043,2173,4653,2240,2064,1419,893
AR,AR 05045,15521,32979,14393,12033,7371,3429
AR,AR 05047,2019,4394,2394,2282,1540,925
AR,AR 05049,1378,2874,1693,1931,1503,801
AR,AR 05051,10741,21880,12939,14639,11005,5796
AR,AR 05053,2079,4426,2543,2208,1589,776
AR,AR 05055,5975,12038,5814,4917,3378,1681
AR,AR 05057,3115,6020,2807,2632,1811,1003
AR,AR 05059,3533,7639,4565,4422,2988,1434
AR,AR 05061,1922,3743,1730,1518,1077,610
AR,AR 05063,5016,10258,4737,4510,2972,1744
AR,AR 05065,1261,2678,1894,1984,1616,976
AR,AR 05067,1861,3679,2177,2051,1419,688
AR,AR 05069,7924,16621,8612,8630,5223,2772
AR,AR 05071,3516,7343,3423,3061,2081,1020
AR,AR 05073,627,1343,1003,991,771,422
AR,AR 05075,1952,4114,2143,1991,1493,886
AR,AR 05077,893,1802,1141,1065,821,448
AR,AR 05079,1081,2419,1764,1313,935,541
AR,AR 05081,1484,2996,1605,1640,1241,553
AR,AR 05083,2399,5021,3183,2816,2007,1032
AR,AR 05085,9958,20261,9391,7603,4587,2146
AR,AR 05087,2095,4209,2287,2239,1453,699
AR,AR 05089,1619,3283,2399,3208,2315,953
AR,AR 05091,5597,11042,5680,5088,3386,1711
AR,AR 05093,5775,11618,5186,4666,2655,1428
AR,AR 05095,793,1508,971,1058,679,435
AR,AR 05097,869,1844,1422,1433,1146,586
AR,AR 05099,1012,2061,1141,1136,756,437
AR,AR 05101,758,1655,1057,1305,995,445
AR,AR 05103,2775,5695,3182,3514,2066,1210
AR,AR 05105,1229,2558,1498,1410,955,499
AR,AR 05107,2571,5015,2254,2464,1503,794
AR,AR 05109,1200,2541,1495,1416,1016,524
AR,AR 05111,3078,6123,3180,2798,2057,954
AR,AR 05113,2385,4955,2602,2792,2236,1078
AR,AR 05115,7975,17126,7951,6833,4723,2507
AR,AR 05117,922,1797,1144,1145,859,545
AR,AR 05119,50926,98944,48150,46725,27108,14301
AR,AR 05121,2340,4628,2285,2193,1577,938
AR,AR 05123,2933,5717,3083,3089,1833,935
AR,AR 05125,14802,30822,15543,14343,10545,4803
AR,AR 05127,1267,2590,1491,1322,1033,524
AR,AR 05129,808,1715,1126,1220,920,513
AR,AR 05131,16928,33834,16500,14784,9255,4893
AR,AR 05133,2663,5303,2016,1705,1112,637
AR,AR 05135,1878,3901,2352,2662,2136,1138
