,state,num_locations,deaths
0,Alabama,,3887.4403796337874
1,Alaska,,26.977092601037572
2,Arizona,,8179.389395851903
3,Arkansas,,1874.099217629439
4,California,,21891.19507357337
5,Colorado,,1144.0738431343095
6,Connecticut,,1815.2984480234672
7,Delaware,,152.90440558185557
8,District of Columbia,,160.88747718225386
9,Florida,,6348.51043464211
10,Georgia,,3922.865614487647
11,Hawaii,,43.966893438076156
12,Idaho,,151.57635299747375
13,Illinois,,2673.108274404883
14,Indiana,,2182.356014435882
15,Iowa,,1929.688211590224
16,Kansas,,864.8327798058945
17,Kentucky,,1275.5995482486096
18,Louisiana,,2717.6515614771415
19,Maine,,131.54219119853278
20,Maryland,,1870.4131441154045
21,Massachusetts,,3922.2112224011644
22,Michigan,,2734.8183693353785
23,Minnesota,,688.0120458445986
24,Mississippi,,970.8663532021114
25,Missouri,,1685.144328479027
26,Montana,,88.21013524293664
27,Nebraska,,148.1530021464426
28,Nevada,,1642.1069599527282
29,New Hampshire,,275.69397396033935
30,New Jersey,,4908.6118638347525
31,New Mexico,,1059.774088714164
32,New York,,14878.685602415066
33,North Carolina,,2583.0499295371947
34,North Dakota,,91.95752836919577
35,Ohio,,2266.491684525117
36,Oklahoma,,1833.8065298216975
37,Oregon,,492.3113215063601
38,Pennsylvania,,7778.6538258064365
39,Rhode Island,,526.7183058612103
40,South Carolina,,1470.0996725864638
41,South Dakota,,207.03909299761008
42,Tennessee,,3155.0374062018873
43,Texas,,16951.19394827568
44,Utah,,1101.3997432896194
45,Vermont,,167.23906207263244
46,Virginia,,1280.3954012944473
47,Washington,,1348.8066229912813
48,West Virginia,,561.6080397049705
49,Wisconsin,,1283.7547121820242
50,Wyoming,,326.5695417323011
