Location,fips,location_indicator,city_geolocation,county_geolocation
"Florida, Boynton Beach",Florida 12099,0,"(26.5279818052, -80.0814660417)","(26.623, -80.4329)"
"South Dakota, Rapid City",South Dakota 46103,0,"(44.0705009564, -103.218361421)","(44.0037, -102.8238)"
"New Mexico, Santa Fe",New Mexico 35049,0,"(35.6662719601, -105.972662995)","(35.5068, -105.9761)"
"Iowa, Iowa City",Iowa 19103,0,"(41.6558950332, -91.5308854927)","(41.6715, -91.5881)"
"South Carolina, Mount Pleasant",South Carolina 45019,0,"(32.8538274584, -79.8230343029)","(32.6714, -80.1831)"
"Mississippi, Gulfport",Mississippi 28047,0,"(30.427377008, -89.0701908439)","(30.515, -89.1185)"
"Texas, Missouri City",Texas 48157,0,"(29.563674661, -95.5382066661)","(29.5274, -95.7707)"
"Utah, Layton",Utah 49011,0,"(41.077181614, -111.961589302)","(40.9907, -112.1114)"
"New York, Mount Vernon",New York 36005,0,"(40.9136008569, -73.8291001676)","(40.8527, -73.8669)"
"Arkansas, Jonesboro",Arkansas 05031,0,"(35.8208121538, -90.6794991686)","(35.8308, -90.6328)"
"Indiana, Lafayette",Indiana 18157,0,"(40.3994285285, -86.8617007404)","(40.3886, -86.8941)"
"California, Manteca",California 06077,0,"(37.7961925102, -121.231230612)","(37.9345, -121.272)"
"Ohio, Youngstown",Ohio 39099,0,"(41.0993286607, -80.6463187081)","(41.0146, -80.7753)"
"Florida, Lauderhill",Florida 12011,0,"(26.1605584187, -80.2241278263)","(26.1519, -80.4886)"
"Colorado, Loveland",Colorado 08069,0,"(40.4165693758, -105.061758435)","(40.6664, -105.4612)"
"California, Milpitas",California 06001,0,"(37.433869763, -121.892083025)","(37.6466, -121.886)"
"Montana, Missoula",Montana 30063,1,"(46.8694402455, -114.009863843)","(47.0364, -113.9237)"
"California, Redondo Beach",California 06037,0,"(33.8575280159, -118.376567893)","(34.3203, -118.2252)"
"Louisiana, Kenner",Louisiana 22089,0,"(30.0106937201, -90.2550320135)","(29.8836, -90.3631)"
"Georgia, Warner Robins",Georgia 13153,1,"(32.5985113609, -83.6530271267)","(32.459, -83.6662)"
"New Jersey, Union City",New Jersey 34017,0,"(40.7674606884, -74.032293507)","(40.7409, -74.0778)"
"Maine, Portland",Maine 23005,1,"(43.6779836271, -70.2752544531)","(43.8487, -70.4096)"
"South Carolina, Rock Hill",South Carolina 45091,0,"(34.9403611496, -81.0249178286)","(34.9747, -81.1845)"
"New York, Schenectady",New York 36093,1,"(42.8025204414, -73.9275333869)","(42.8182, -74.0585)"
"Wyoming, Cheyenne",Wyoming 56021,1,"(41.1460804265, -104.789064332)","(41.3071, -104.6896)"
"West Virginia, Charleston",West Virginia 54039,1,"(38.3484079736, -81.632165003)","(38.3365, -81.5281)"
"Vermont, Burlington",Vermont 50007,1,"(44.4876245694, -73.2314828365)","(44.4609, -73.0809)"
