Location,fips,location_indicator,city_geolocation,county_geolocation
"California, Santa Maria",California 06083,0,"(34.9333735757, -120.443326954)","(34.6731, -120.0165)"
"California, El Cajon",California 06073,0,"(32.8016581921, -116.960483614)","(33.0354, -116.7335)"
"Texas, Richardson",Texas 48113,0,"(32.9716582389, -96.7093052991)","(32.7666, -96.7779)"
"Wisconsin, Kenosha",Wisconsin 55059,0,"(42.585570271, -87.8735745085)","(42.5767, -88.0418)"
"California, Rialto",California 06059,0,"(34.1128158089, -117.388535978)","(33.703, -117.7605)"
"Oklahoma, Broken Arrow",Oklahoma 40143,0,"(36.0366324911, -95.7809572414)","(36.1211, -95.9414)"
"Michigan, Dearborn",Michigan 26163,0,"(42.3126884626, -83.2129368006)","(42.284, -83.2865)"
"New York, Albany",New York 36001,0,"(42.6663969604, -73.7986826267)","(42.6002, -73.9735)"
"New Mexico, Las Cruces",New Mexico 35013,0,"(32.326638797, -106.789465579)","(32.3527, -106.8328)"
"South Carolina, North Charleston",South Carolina 45019,0,"(32.9100915071, -80.0738525014)","(32.6714, -80.1831)"
"Florida, Lakeland",Florida 12105,0,"(28.0558482664, -81.9539536462)","(27.9489, -81.6978)"
"Colorado, Boulder",Colorado 08013,0,"(40.0275510494, -105.25151776)","(40.0925, -105.3575)"
"California, San Mateo",California 06081,0,"(37.5518226893, -122.312390346)","(37.4218, -122.3293)"
"Virginia, Roanoke",Virginia 51770,1,"(37.2782181855, -79.9581615989)","(37.2781, -79.9581)"
"Michigan, Livonia",Michigan 26163,0,"(42.3971592737, -83.3733073683)","(42.284, -83.2865)"
"Texas, Tyler",Texas 48423,1,"(32.3154021183, -95.3050093799)","(32.375, -95.2692)"
"Oklahoma, Lawton",Oklahoma 40031,0,"(34.6170564899, -98.4203934803)","(34.6621, -98.4717)"
"California, Compton",California 06037,0,"(33.892965693, -118.227506568)","(34.3203, -118.2252)"
"California, Clovis",California 06019,1,"(36.8289400179, -119.68665285)","(36.7584, -119.6503)"
"Virginia, Portsmouth",Virginia 51740,0,"(36.8451450228, -76.3552763467)","(36.8449, -76.3548)"
"Texas, Lewisville",Texas 48121,0,"(33.0451992429, -96.9829273031)","(33.2043, -97.1171)"
"Massachusetts, New Bedford",Massachusetts 25005,0,"(41.6712667258, -70.9441204537)","(41.802, -71.1153)"
"California, South Gate",California 06037,0,"(33.9447322664, -118.192550525)","(34.3203, -118.2252)"
"Texas, College Station",Texas 48041,0,"(30.5867615801, -96.2957958614)","(30.6611, -96.3023)"
"Georgia, Sandy Springs",Georgia 13121,1,"(33.9366669867, -84.3703197084)","(33.7903, -84.4669)"
"California, Vista",California 06073,0,"(33.1895481978, -117.238607217)","(33.0354, -116.7335)"
"Massachusetts, Brockton",Massachusetts 25021,0,"(42.082071372, -71.0241656338)","(42.155, -71.2248)"
"California, Mission Viejo",California 06059,0,"(33.6095976891, -117.655029608)","(33.703, -117.7605)"
"Texas, San Angelo",Texas 48451,0,"(31.440468746, -100.452243142)","(31.4044, -100.4621)"
"Arizona, Yuma",Arizona 04027,0,"(32.5986027117, -114.54836837)","(32.7694, -113.9056)"
"Colorado, Greeley",Colorado 08123,0,"(40.4141369521, -104.771170982)","(40.5549, -104.3925)"
"California, Vacaville",California 06095,0,"(38.3597235063, -121.96903046)","(38.2805, -121.9266)"
